연번,지하철역,노선,주소,출입구,위도,경도,데이터 기준일자
1,송도달빛축제공원역,인천1호선,인천광역시 연수구 인천타워대로 424,4,37.40740041,126.6257671,2024-08-13
2,국제업무지구역,인천1호선,인천광역시 연수구 인천타워대로 334,3,37.40030607,126.6301544,2024-08-13
3,센트럴파크역,인천1호선,인천광역시 연수구 인천타워대로 240,3,37.39271214,126.6349904,2024-08-13
4,인천대입구역,인천1호선,인천광역시 연수구 인천타워대로 155,3,37.38568448,126.6397248,2024-08-13
5,지식정보단지역,인천1호선,인천광역시 연수구 인천타워대로 57,4,37.37809053,126.6453831,2024-08-13
6,테크노파크역,인천1호선,인천광역시 연수구 송도국제대로 150,3,37.3822356,126.6564759,2024-08-13
7,캠퍼스타운역,인천1호선,인천광역시 연수구 송도국제대로 66,4,37.38835523,126.6621823,2024-08-13
8,동막역,인천1호선,인천광역시 연수구 경원대로 80,4,37.39818954,126.6737421,2024-08-13
9,동춘역,인천1호선,인천광역시 연수구 경원대로 180,6,37.40471885,126.680709,2024-08-13
10,원인재역,인천1호선,인천광역시 연수구 경원대로 285,4,37.41210322,126.6876283,2024-08-13
11,신연수역,인천1호선,인천광역시 연수구 경원대로 368,4,37.41795676,126.6938525,2024-08-13
12,선학역,인천1호선,인천광역시 연수구 경원대로 480,4,37.42712252,126.6989584,2024-08-13
13,송도역,수인분당선,인천광역시 연수구 비류대로 175,1,37.42987479,126.6542134,2024-08-13
14,연수역,수인분당선,인천광역시 연수구 벚꽃로 115,4,37.41780052,126.678966,2024-08-13
15,원인재역,수인분당선,인천광역시 연수구 경원대로 285,2,37.41210322,126.6876283,2024-08-13
